Epoch,0% Dropout,20% Dropout,50% Dropout,70% Dropout,90% Dropout
1,651.8801962293496,628.9370737390913,641.0872142364157,653.0975547983893,706.84813761018
1,273.5001188222445,272.90436118103975,287.1026400654032,303.78903713778175,392.0314917351226
2,194.6588020513739,196.2934557249716,216.4412586765953,242.3795265867732,357.3696653961281
2,149.85117349378646,154.9617711375785,174.99169937389698,200.95357796203072,318.3992270812804
3,132.43086412021262,139.57682608522225,161.25249907038256,190.08583689888783,320.5876004509891
3,114.00571612239928,121.98948187178328,142.94233218691812,171.65481043867285,294.1224947304008
4,106.06041245531824,115.27377725723328,136.75475286775108,168.370943648572,303.5205733477105
4,94.14937143284357,103.63589692457248,125.87156360779086,156.15889138860277,280.7547903253812
5,89.28608269272131,99.5402790653207,123.3039602860566,155.75927263680225,291.5532093792049
5,80.38959414754915,91.42420934718604,115.00393221947664,146.95005802728778,273.4711943005269
6,76.82809888265123,88.93873352481887,114.77352778800548,149.334638679772,287.28504765592885
6,69.51157643847318,82.6964880898829,108.0759406400622,141.047134122174,270.3819725488792
7,66.28733442465881,80.77202328550614,108.04663738780728,143.92513591097222,282.9127712493973
7,59.41156245561187,75.04731255155139,102.1523347949058,136.58131893044558,267.78530310714933
8,51.94369562784232,73.86515219752772,102.70841238527365,139.36919133751377,281.49433520201825
8,39.84565216320507,69.24054445841195,97.95120225891591,132.75423608966435,267.26701368940945
9,44.25607571155488,68.31142629749301,98.5204799018284,135.7807205931972,281.6586366623123
9,35.66967557937199,63.97013495998637,94.24139773341992,129.92436787489464,266.6148966506911
10,40.24000856670696,57.97331976263079,94.94951164875904,133.12372682016024,278.61555497093696
10,30.762096087970576,47.919253994551376,90.95474211261234,127.38828631149384,264.0296874237485
11,38.59985251175302,52.707644595682645,92.65342278954762,131.97184834436194,271.99560906005985
11,29.24802859338436,45.90375542541455,88.3972236804303,125.4639391917513,252.70813775338712
12,37.908031388671965,49.91884197578841,89.77495268815238,129.53905207781054,262.74287186656545
12,28.76820234281104,44.11535452795363,85.84771437944161,123.50069766866208,246.48055261495725
13,37.6946877668038,47.34460961840289,87.41156644277557,128.20822936771214,257.57502332515503
13,28.63980818489328,40.44959125794386,83.65934643280598,122.48621700467687,241.71219019616277
14,37.64118728541183,45.74808569528632,85.17486860500749,126.32575114908067,255.48325319203207
14,28.607234402468784,40.033564623858666,82.38899866827383,121.01393618352228,240.6252095239145
15,37.627841998712114,45.10965508800428,79.79823950800721,124.84794509720288,250.2767738620747
15,28.59905684170838,38.94293012400411,71.4525746098332,119.26354481955204,236.3002945611593
16,37.62449715447119,44.6593692810325,75.43122050372307,123.53809476950951,249.9182480974444
16,28.597002623798996,38.63057506641793,70.28616149784992,118.6864359625528,235.14206248663555
17,37.62365843336905,44.65149765450069,73.65733972355342,122.33873206421153,246.9150173374327
17,28.596485342513247,38.50440316045001,68.96108377218994,117.44330041918612,233.36674454591565
18,37.62345274772258,44.31419303688718,72.5920335109028,121.29071873751816,244.13872329466213
18,28.596353347627208,38.29247660946946,68.0150318168836,116.77999794606669,231.400652329639
19,37.62341148514654,44.324749478279095,71.5396999819482,121.3197425399355,242.82617371288703
19,28.596321712579734,38.2053331895776,67.36993406865331,116.65590910677828,229.9490519028973
20,37.623405026660485,44.29084347886901,70.34503589457914,116.1204948634093,241.7013136043979
20,28.596318303632746,38.15774937126403,66.56394667500848,106.85486377647888,229.5228520643925
21,37.62340529576405,44.2428829587183,69.67407295821477,111.81294968533568,238.88538066959563
21,28.596318303632746,38.17468105738142,66.15375612318392,105.49803594233089,228.1630317141111
22,37.62340475755691,44.3587443606226,68.67244668120786,109.62080023393332,237.7548862936765
22,28.596318303632746,38.17857954268664,65.34359806830835,104.07923538435216,224.98788095981493
23,37.62340430905099,44.27724892430147,68.176896161909,108.28812654644568,236.2355863981623
23,28.596317553664463,38.42471844730001,64.33327254361647,102.86824127277048,224.1967914626176
24,37.623404129648605,44.17587004031377,66.6787249506157,107.6523302255096,235.5943113683947
24,28.59631775820126,38.13073649344469,61.70445947159187,102.41714415405596,222.59352536946707
25,37.6234048472581,44.27450125328782,65.87657541482201,106.01369986933412,233.40724989086175
25,28.596317621843397,38.37324264878501,61.76451670602376,101.35593634964626,221.68030081960444
26,37.62340448845336,44.26631361587356,65.62970951907992,105.00496303527484,232.79371910647632
26,28.596318235453808,38.34382166674416,61.43196179788405,100.58877955145036,221.3248018656408
27,37.623404039947424,44.2115094445704,65.23347175955892,104.71405792172848,231.22063797746588
27,28.596318167274877,38.11274958861824,60.95057693489912,99.64311605853386,219.7514718419073
28,37.623404039947424,44.095783127968254,64.52554660820707,103.711102960447,230.39416172910745
28,28.596318167274877,38.13101595414546,60.298466606805775,99.73635746612096,218.97541852355496
29,37.623404039947424,44.23680500927609,64.47860652716854,103.06471372239209,229.15651811838083
29,28.596318167274877,38.25235234590927,60.05322310187689,98.64271220532632,217.720332330614
30,37.623404039947424,44.26717746196631,64.35588616750124,102.78765736765575,227.89859606233355
30,28.596318167274877,38.40800029918921,60.3826680967166,98.41254599306362,217.23428989827872
31,37.623404039947424,44.2678054364148,64.02174575791771,102.2706146657275,226.73952448819625
31,28.596318167274877,38.246963948818326,60.12321993871496,97.9092251367752,217.23885288225392
32,37.623404039947424,44.06486513550908,63.68970390460685,101.45745463880304,226.2737454130449
32,28.596318167274877,38.23495165159175,59.91534096327919,97.64636941617675,215.6579710970186
33,37.623404039947424,44.34158481920596,64.40851272562014,101.48607611830302,224.2282516412236
33,28.596318167274877,38.21568845309082,60.16147409297505,96.69791260693913,213.3256185709299
34,37.623404039947424,44.27528334413541,64.21814173353071,100.3094345827635,221.9402526883772
34,28.596318167274877,38.15363751541865,60.002441722392405,96.48726353206192,212.7149046058353
35,37.623404039947424,44.17881603632245,64.41840332947052,100.53913083730156,221.35749929926783
35,28.596318167274877,38.00552893725925,59.89653994550128,95.97349372191783,210.72503811659823
36,37.623404039947424,44.18068126828709,64.16513008348743,99.51707400141952,219.96799437689072
36,28.596318167274877,38.23533215210456,60.052032445089615,95.5111411369368,211.70440136764688
37,37.623404039947424,44.22656581048648,63.98514863400208,99.04724014673543,220.7858941309902
37,28.596318167274877,38.29662068502253,60.05612753867646,95.24117813027117,209.9525227462901
38,37.623404039947424,44.25838844332743,63.84825920923433,99.16040027155658,219.5682446075868
38,28.596318167274877,38.34651175914105,59.65550601347484,94.41508760704296,209.5519561333018
39,37.623404039947424,44.25460454444981,64.0206650777039,98.56694198407187,219.07546735629103
39,28.596318167274877,38.13293996120204,59.69971902269703,94.30844045620071,208.82863383244165
40,37.623404039947424,44.1476308909381,63.98731262755481,98.3485535466339,218.94094320122656
40,28.596318167274877,38.282099534765045,60.02317068055089,94.3932798856129,209.6554030918768
41,37.623404039947424,44.32999619483064,64.04921123093443,97.92962937526435,218.4424646661942
41,28.596318167274877,38.20508615805906,59.97504412935577,93.41291479200612,208.3103680014173
42,37.623404039947424,44.34870521981407,63.51987136243163,96.51809659529562,218.35195355224727
42,28.596318167274877,38.210058612471705,59.79109322250882,91.55903516469093,208.6207752350874
43,37.623404039947424,44.17430927921108,64.02878817946997,95.52838081695602,217.64811041910775
43,28.596318167274877,38.1991066062086,59.8069010265368,91.00274955192856,207.9359254291294
44,37.623404039947424,44.34763762078735,63.88134910289556,95.45950858450054,217.25752948574487
44,28.596318167274877,38.219023618787205,60.25837645898316,90.8249156196038,206.8457561779342
45,37.623404039947424,44.30432062741866,63.80320933035706,95.08813798344022,218.20967538224716
45,28.596318167274877,38.184891270731136,60.10120690552188,90.44370400944072,207.74363158725484
46,37.623404039947424,44.33026147990149,63.71539631517298,94.6926317910334,216.4466265514345
46,28.596318167274877,38.22091543394217,59.63845267930171,90.62940958611892,206.6480871398137
47,37.623404039947424,44.21101592494977,63.73062127294166,94.44095369610297,216.8786267784093
47,28.596318167274877,38.20620801462808,59.7692971246918,89.73648678323222,206.13408094658365
48,37.623404039947424,44.25270211290682,64.0207301011671,94.15012475581344,216.3147811200901
48,28.596318167274877,38.226982886568045,59.7351124806575,90.40201506515778,206.3604457216856
49,37.623404039947424,44.19872661787664,63.74217109983852,94.73949455172146,216.41010368698136
49,28.596318167274877,38.24337067730725,59.63516379272851,89.75850435218433,206.57608849009856
50,37.623404039947424,44.04636983989921,63.69747155974596,94.40373093778464,216.46143456713975
50,28.596318167274877,38.26304986129251,59.8127451093139,90.16151891256482,206.36881287124203
