epoch,ppl
1,706.84813761018
1,392.03149173512264
2,357.3696653961281
2,318.3992270812804
3,320.5876004509891
3,294.1224947304008
4,303.5205733477105
4,280.7547903253812
5,291.5532093792049
5,273.4711943005269
6,287.28504765592885
6,270.38197254887916
7,282.9127712493973
7,267.78530310714933
8,281.49433520201825
8,267.26701368940945
9,281.6586366623123
9,266.6148966506911
10,278.61555497093696
10,264.0296874237485
11,271.99560906005985
11,252.70813775338712
12,262.74287186656545
12,246.48055261495725
13,257.57502332515503
13,241.71219019616274
14,255.48325319203207
14,240.62520952391446
15,250.2767738620747
15,236.3002945611593
16,249.9182480974444
16,235.14206248663555
17,246.9150173374327
17,233.36674454591565
18,244.13872329466213
18,231.400652329639
19,242.82617371288703
19,229.94905190289734
20,241.7013136043979
20,229.5228520643925
21,238.88538066959563
21,228.1630317141111
22,237.75488629367646
22,224.98788095981493
23,236.2355863981623
23,224.19679146261757
24,235.5943113683947
24,222.59352536946707
25,233.40724989086178
25,221.68030081960444
26,232.79371910647632
26,221.32480186564078
27,231.22063797746588
27,219.7514718419073
28,230.39416172910742
28,218.97541852355496
29,229.15651811838083
29,217.720332330614
30,227.89859606233355
30,217.23428989827872
31,226.73952448819622
31,217.23885288225392
32,226.2737454130449
32,215.6579710970186
33,224.2282516412236
33,213.3256185709299
34,221.94025268837717
34,212.7149046058353
35,221.35749929926786
35,210.72503811659823
36,219.96799437689072
36,211.70440136764688
37,220.78589413099021
37,209.9525227462901
38,219.56824460758682
38,209.55195613330181
39,219.07546735629106
39,208.82863383244165
40,218.94094320122656
40,209.65540309187676
41,218.4424646661942
41,208.31036800141726
42,218.35195355224727
42,208.6207752350874
43,217.64811041910778
43,207.9359254291294
44,217.25752948574487
44,206.8457561779342
45,218.20967538224713
45,207.74363158725484
46,216.4466265514345
46,206.6480871398137
47,216.8786267784093
47,206.13408094658365
48,216.31478112009012
48,206.3604457216856
49,216.41010368698136
49,206.57608849009856
50,216.46143456713978
50,206.36881287124203
